名称,最低購入量,購入価格,単価,必要量,購入先,備考
CH32X035F7P6,10,632,63.2,1,ali,MCU
XC6203P332MR,100,336,3.36,1,ali,LDO
Type-C 16P Conn,10,318,31.8,1,ali,USB-PD
0603 LED Red,20,72.4,3.6,2,ali,状態表示
高分子コンデンサ 35V/100uF,20,288,14.4,1,ali,電源用
0603 積セラ 10V/22uF,50,320,6.4,1,ali,MCU用
0603 積セラ 50V/100nF,100,260,2.6,2,ali,パスコン
1206 20mΩ 1W,20,454,22.7,1,ali,電流センス抵抗
0603 22Ω 1/10W,100,361,3.6,2,ali,DP_DM用
0603 1kΩ 1/10W,100,356,3.6,4,ali,TX_RX_LED兼用
0603 5.1kΩ 1/10W,100,360,3.6,4,ali,CC_Amp入力兼用
0603 120kΩ 1/10W,100,349,3.5,2,ali,増幅回路
プリント基板,80,1165,14.56,1,JLCPCB,4x4面付け、送料別
合計,810,5271.4,211.82,23,-,単価は1枚当たりの原価
